agency,description,name,price
Long Realty Covey Luxury Properties,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,860'}",1700 S Snowberry Loop Homestead Unit 2 At Torreon,"$899,000"
Western Az Ranch & Real Estate Llc,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,450'}",28725 N 210th Avenue None,"$1,150,000"
Exp Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,138'}",2201 S Silver Oak Avenue Sierra Pines Unit 7,"$849,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,140'}",22941 W Blue Sky Drive Metes And Bounds,"$929,000"
Homesmart Fine Homes And Land,"{'Beds': '4', 'Baths': '2 F 2 1/2', 'Sq.Ft.': '3,984'}",7850 N Fairoaks Dr Royal Oaks 2,"$959,000"
Realty Executive Arizona Territory,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,088'}",1321 S Wolftail Lane Homestead Unit 1 At Torreon,"$848,500"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '5,339'}",19920 W Verde Hills Drive Powell Ranch - Equestrian Estate,"$12,000,000"
Award Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,000'}",34622 N 214th Drive W2 Sw4 S3r Se4,"$899,000"
Opendoor Brokerage,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '1,784'}",1878 Sequoia Dr Woodcrest,"$472,000"
Long Realty Covey Luxury Properties,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,087'}",2321 W Edgewater Torreon Lakes Unit Ii,"$799,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '5,339'}",19920 W Verde Hills Drive Powell Ranch - Equestrian Estate,"$7,500,000"
Valley Of The Sun Real Estate,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,627'}",30214 N 229th Avenue N 145F Of S 290F Of Fol Desc Prop E2 E2 Nw4 Se4 Sec 22 Ex N 740F Th/Of,"$875,000"
Berkshire Hathaway Homeservices Prescott,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,274'}",1970 W Iron Springs Rd Grandview Estates,"$300,000"
Exp Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,261'}",1761 S Alder Leaf Lane Torreon Meadows,"$775,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,236'}",4620 Desert Willow Drive Black Mountain Ranches,"$2,400,000"
Platinum Living Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,864'}",30616 N 228th Avenue N/A,"$875,000"
Exp Realty- Prescott,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,432'}",14000 N Warbonnet Ln Inscription Canyon Ranch,"$1,250,000"
Realty Executives Arizona Territory,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,229'}",1701 W Snow Creek Loop Snow Creek,"$749,900"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,659'}",51823 N 461st Avenue J-1 Ranches,"$1,999,999"
